oem,device, model,rssi correction,tx,calibration confidence
asus,Z00X_1,ASUS_Z00XS,3,-22,1
asus,Z00X,ASUS_Z00XS,3,-22,1
asus,Z00X_2,ASUS_Z00XS,3,-22,1
asus,Z00X_1,ASUS_Z00XSA,3,-22,1
asus,Z00X,ASUS_Z00XSA,3,-22,1
asus,Z00X,ASUS_Z00XSB,3,-22,1
asus,ASUS_Z00YD,ASUS_Z00YD,3,-22,1
asus,ASUS_Z010,ASUS_Z010D,2,-18,1
asus,ASUS_Z010_CD,ASUS_Z010D,2,-18,3
asus,ASUS_Z010,ASUS_Z010DA,2,-18,1
asus,ASUS_Z010_CD,ASUS_Z010DA,2,-18,1
asus,ASUS_Z010,ASUS_Z010DB,2,-18,1
asus,ASUS_Z010_2,ASUS_Z010DD,2,-18,1
asus,ASUS_Z011,ASUS_Z011D,3,-22,1
asus,ASUS_Z012D,ASUS_Z012D,3,-22,1
asus,ASUS_Z012D,ASUS_Z012DA,3,-22,1
asus,ASUS_Z012D,ASUS_Z012DE,3,-22,1
asus,ASUS_Z012D,ASUS_Z012S,3,-22,1
asus,Z016,ASUS_Z016D,3,-22,1
asus,Z016_1,ASUS_Z016D,3,-22,1
asus,Z016,ASUS_Z016DA,3,-22,1
asus,Z016,ASUS_Z016S,3,-22,1
asus,ASUS_Z017D_1,ASUS_Z017D,3,-22,1
asus,ASUS_Z017D_1,ASUS_Z017DA,3,-22,1
asus,Z01B_1,ASUS_Z01BD,3,-22,1
asus,Z01B_1,ASUS_Z01BDA,3,-22,1
asus,Z01B_1,ASUS_Z01BDC,3,-22,1
asus,Z01B_1,ASUS_Z01BS,3,-22,1
asus,ASUS_Z01F_1,ASUS_Z01FD,5,-20,3
asus,ASUS_Z01GD_1,ASUS_Z01GD,3,-22,1
asus,ASUS_Z01H_1,ASUS_Z01HD,3,-22,1
asus,ASUS_Z01H_1,ASUS_Z01HDA,3,-22,1
asus,ASUS_Z01KD_3,ASUS_Z01KD,3,-22,1
asus,ASUS_Z01KD_2,ASUS_Z01KD,3,-22,1
asus,ASUS_Z01KDA,ASUS_Z01KD,3,-22,1
asus,ASUS_Z01KD_1,ASUS_Z01KDA,3,-22,1
asus,ASUS_Z01KDA,ASUS_Z01KS,3,-22,1
asus,ASUS_Z01M_1,ASUS_Z01MD,3,-22,1
asus,ASUS_Z01M_1,ASUS_Z01MDA,3,-22,1
asus,ASUS_Z01QD_1,ASUS_Z01QD,3,-22,1
asus,ASUS_Z01R_1,ASUS_Z01RD,3,-22,1
asus,a10,Asus A10,3,-22,1
asus,TF101G,ETBW11AA,3,-22,1
asus,ETBW11AA,ETBW11AA,3,-22,1
asus,ASUS_X00R_3,G552KL,3,-22,1
asus,ASUS_X00R_7,G553KL,3,-22,1
asus,a10,Garmin-Asus A10,3,-22,1
asus,a50,Garmin-Asus A50,3,-22,1
asus,K007,K007,3,-22,1
asus,K00C,K00C,3,-22,1
asus,K00E,K00E,3,-22,1
asus,K00F,K00F,3,-22,1
asus,K00G,K00G,3,-22,1
asus,K00L,K00L,3,-22,1
asus,K00R,K00R,3,-22,1
asus,K00U,K00U,3,-22,1
asus,K00X_1,K00X,3,-22,1
asus,K00Y,K00Y,3,-22,1
asus,K00Z,K00Z,3,-22,1
asus,K010_1,K010,3,-22,1
asus,K010_3,K010,3,-22,1
asus,K010,K010,3,-22,1
asus,K010E_1,K010E,3,-22,1
asus,K010E,K010E,3,-22,1
asus,K011_1,K011,3,-22,1
asus,K011,K011,3,-22,1
asus,K012,K012,3,-22,1
asus,K012_2,K012_2,3,-22,1
asus,K013_1,K013,3,-22,1
asus,K013,K013,3,-22,1
asus,K013C,K013C,3,-22,1
asus,K014,K014,3,-22,1
asus,K015,K015,3,-22,1
asus,K016_4,K016,3,-22,1
asus,K016_2,K016,3,-22,1
asus,K016_1,K016,3,-22,1
asus,K016_3,K016,3,-22,1
asus,K017,K017,3,-22,1
asus,K018,K018,3,-22,1
asus,K019_4,K019,3,-22,1
asus,K019_3,K019,3,-22,1
asus,K019_2,K019,3,-22,1
asus,K019_1,K019,3,-22,1
asus,K01A,K01A,3,-22,1
asus,K01B,K01B,3,-22,1
asus,K01E_2,K01E,3,-22,1
asus,K01E_1,K01E,3,-22,1
asus,K01F,K01F,3,-22,1
asus,K01H,K01H,3,-22,1
asus,K01N_1,K01N,3,-22,1
asus,K01N_2,K01N,3,-22,1
asus,K01Q,K01Q,3,-22,1
asus,K01U_2,K01U,3,-22,1
asus,K01U_1,K01U,3,-22,1
asus,EP71,ME171,3,-22,1
asus,me172v,ME172V,3,-22,1
asus,ME173X,ME173X,3,-22,1
asus,ME301T,ME301T,3,-22,1
asus,ME302C,ME302C,3,-22,1
asus,ME302KL,ME302KL,3,-22,1
asus,ME371MG,ME371MG,3,-22,1
asus,deb,Nexus 7,3,-22,1
asus,tilapia,Nexus 7,3,-22,1
asus,grouper,Nexus 7,3,-22,1
asus,flo,Nexus 7,3,-22,1
asus,fugu,Nexus Player,3,-22,1
asus,P001,P001,3,-22,1
asus,P001_2,P001,3,-22,1
asus,P001_2,P001_2,3,-22,1
asus,P002_2,P002,3,-22,1
asus,P002_1,P002,3,-22,1
asus,P002_M,P002,3,-22,1
asus,P008_1,P008,3,-22,1
asus,P008,P008,3,-22,1
asus,P008_2,P008,3,-22,1
asus,P00A_1,P00A,3,-22,1
asus,P00A_M,P00A,3,-22,1
asus,P00A_2,P00A,3,-22,1
asus,P00C_2,P00C,3,-22,1
asus,P00C_1,P00C,3,-22,1
asus,P00C_M,P00C,3,-22,1
asus,P00I,P00I,3,-22,1
asus,ASUS_P00L_M1,P00L,3,-22,1
asus,ASUS_P00L_M2,P00L,3,-22,1
asus,ASUS_P00L_2,P00L,3,-22,1
asus,ASUS_P00L_1,P00L,3,-22,1
asus,P01M_2,P01M,3,-22,1
asus,P01M_4,P01M,3,-22,1
asus,P01M_5,P01MA,3,-22,1
asus,P01M_3,P01MA,3,-22,1
asus,P01M_1,P01MA,3,-22,1
asus,P01T_M,P01T,3,-22,1
asus,P01T_1,P01T_1,3,-22,1
asus,P01V_1,P01V,3,-22,1
asus,P01V_2,P01V,3,-22,1
asus,P01W,P01W,3,-22,1
asus,P01W_M,P01W,3,-22,1
asus,P01Y_2,P01Y,3,-22,1
asus,P01Y,P01Y,3,-22,1
asus,P01Y_S,P01Y,3,-22,1
asus,P01Y_S,P01Y_S,3,-22,1
asus,P01Z_2,P01Z,3,-22,1
asus,P01Z,P01Z,3,-22,1
asus,P021_1,P021,3,-22,1
asus,P021,P021,3,-22,1
asus,P022_2,P022,3,-22,1
asus,P022_1,P022,3,-22,1
asus,P023_1,P023,3,-22,1
asus,P023_2,P023,3,-22,1
asus,P023_M,P023,3,-22,1
asus,P024_1,P024,3,-22,1
asus,P024_3,P024,3,-22,1
asus,P024_4,P024,3,-22,1
asus,P024_2,P024,3,-22,1
asus,P027,P027,4,-20,3
asus,ASUS_P028_1,P028,3,-22,1
asus,ASUS_P028_2,P028,3,-22,1
asus,PadFone,PadFone,3,-22,1
asus,A68,PadFone 2,3,-22,1
asus,ASUS-A80,PadFone Infinity,3,-22,1
asus,A80,PadFone Infinity,3,-22,1
asus,ASUS-A86,PadFone T004,3,-22,1
asus,ASUS-T008,PadFone T008,3,-22,1
asus,ASUS-T00C,PadFone T00C,3,-22,1
asus,RTC-tablet,RTC-tablet,3,-22,1
asus,SL101,Slider SL101,3,-22,1
asus,T10xTA,T10xTA,3,-22,1
asus,TF101,TF101,3,-22,1
asus,TF101-WiMAX,TF101-WiMAX,3,-22,1
asus,TF201,TF201,3,-22,1
asus,TX201LA,TX201LA,3,-22,1
asus,TX201LAF,TX201LAF,3,-22,1
asus,TF201,Transformer Prime TF201,3,-22,1
asus,TF101,Transformer TF101,3,-22,1
asus,ventana,Transformer TF101,3,-22,1
asus,EeePad,Transformer TF101,3,-22,1
asus,EeePad,Transformer TF101G,3,-22,1
asus,TF101G,Transformer TF101G,3,-22,1
asus,TF201,Transformer TF201,3,-22,1
asus,ASUS_Z00D,Z00D,3,-22,1
asus,ASUS_X00R_3,ZA550KL,3,-22,1
asus,ASUS_X00R_2,ZA550KL,3,-22,1
asus,ASUS_X00LD_3,ZB553KL,3,-22,1
asus,ASUS_X00P_1,ZB555KL,3,-22,1
asus,ASUS_X00P_3,ZB555KL,3,-22,1
asus,ASUS_X00P_8,ZB555KL,3,-22,1
asus,ASUS_X00T_6,ZB602KL,2,-26,1
asus,ASUS_X01BD_1,ZB631KL,2,-25,1
asus,ASUS_X01A_1,ZB633KL,3,-22,1
asus,ASUS_X017D_2,ZC600KL,3,-22,1
asus,ASUS_X00QD,ZE620KL,3,-22,1
asus,ASUS_Z01QD_1,ZS600KL,3,-22,1
asus,ASUS_Z01R_1,ZS620KL,3,-22,1
asus,ASUS_I01WD,ZS630KL,3,-22,1
asus,ASUS_I001_1,ZS660KL,3,-22,1
asus,ASUS_ZENBO,Zenbo,3,-22,1
asus,asus_google_cube,asus_google_cube,3,-22,1
asus,bob_cheets,bob,3,-22,1
blackberry,argon,BBA100-1,6,-26,1
blackberry,argon,BBA100-2,6,-26,1
blackberry,bbb100,BBB100-1,6,-26,1
blackberry,bbb100,BBB100-2,6,-26,1
blackberry,bbb100,BBB100-3,6,-26,1
blackberry,bbb100,BBB100-4,6,-26,1
blackberry,bbb100,BBB100-5,6,-26,1
blackberry,bbb100,BBB100-6,6,-26,1
blackberry,bbb100,BBB100-7,6,-26,1
blackberry,bbc100,BBC100-1,6,-26,1
blackberry,bbd100,BBD100-1,6,-26,1
blackberry,bbd100,BBD100-2,6,-26,1
blackberry,bbd100,BBD100-6,6,-26,1
blackberry,bbe100,BBE100-1,6,-26,1
blackberry,bbe100,BBE100-2,6,-26,1
blackberry,bbe100,BBE100-4,6,-26,3
blackberry,bbe100,BBE100-5,6,-26,1
blackberry,bbf100,BBF100-1,6,-26,1
blackberry,bbf100,BBF100-2,6,-26,1
blackberry,bbf100,BBF100-4,6,-26,1
blackberry,bbf100,BBF100-6,6,-26,1
blackberry,bbf100,BBF100-8,6,-26,1
blackberry,bbf100,BBF100-9,6,-26,1
blackberry,bbg100,BBG100-1,6,-26,1
blackberry,bbh100,BBH100-1,6,-26,1
blackberry,hamburg,STH100-1,6,-26,1
blackberry,hamburg,STH100-2,6,-26,1
blackberry,venice,STV100-1,6,-26,1
blackberry,venice,STV100-2,6,-26,1
blackberry,venice,STV100-3,6,-26,1
blackberry,venice,STV100-4,6,-26,1
blu,A200,A200,3,-24,1
blu,A250,A250,3,-24,1
blu,A30,A30,3,-24,1
blu,Advance_4_0_L3,Advance 4.0 L3,3,-24,1
blu,Advance_4_0M,Advance 4.0M,3,-24,1
blu,Advance_5_0_HD,Advance 5.0 HD,3,-24,1
blu,A290Q,Advance 5.2,3,-24,1
blu,A230Q,Advance 5.2,3,-24,1
blu,Studio_J1,Advance A4,3,-24,1
blu,Studio_J2,Advance A5,3,-24,1
blu,A0010WW,Advance A5 LTE,3,-24,1
blu,A0031WW,Advance A5 Plus LTE,3,-24,1
blu,A190,Advance A6,3,-24,1
blu,A210,Advance A7,3,-24,1
blu,A350,Advance L4,3,-24,1
blu,A350A,Advance L4,3,-24,1
blu,A380,Advance L5,3,-24,1
blu,A390,Advance L5,3,-24,1
blu,B110DL,B110DL,3,-24,1
blu,BLU_ADVANCE_4_0_L2,BLU ADVANCE 4.0 L2,3,-24,1
blu,BLU_DASH_L2,BLU DASH L2,3,-24,1
blu,BLU_DASH_M2,BLU DASH M2,3,-24,1
blu,BLU_DASH_X,BLU DASH X,3,-24,1
blu,DASH_X_LTE,BLU DASH X LTE,3,-24,1
blu,BLU_DASH_X2,BLU DASH X2,3,-24,1
blu,BLU_ENERGY_DIAMOND,BLU ENERGY DIAMOND,3,-24,1
blu,BLU_ENERGY_M,BLU ENERGY M,3,-24,1
blu,BLU_ENERGY_X_PLUS_2,BLU ENERGY X PLUS 2,3,-24,1
blu,BLU_GRAND_5_5_HD,BLU GRAND 5.5 HD,3,-24,1
blu,BLU_Grand_X_LTE,BLU Grand X LTE,3,-24,1
blu,BLU_LIFE_MARK,BLU LIFE MARK,3,-24,1
blu,BLU_LIFE_ONE_X,BLU LIFE ONE X,3,-24,1
blu,BLU_LIFE_XL,BLU LIFE XL,3,-24,1
blu,BLU_NEO_ENERGY_MINI,BLU NEO ENERGY MINI,3,-24,1
blu,BLU_NEO_X,BLU NEO X,3,-24,1
blu,BLU_NEO_X_LTE,BLU NEO X LTE,3,-24,1
blu,BLU_NEO_X_MINI,BLU NEO X MINI,3,-24,1
blu,BLU_NEO_X_PLUS,BLU NEO X PLUS,3,-24,1
blu,BLU_NEO_XL,BLU NEO XL,3,-24,1
blu,BLU_R1_HD,BLU R1 HD,3,-24,1
blu,blu_s0010tw,BLU STUDIO 7.0 LTE,3,-24,1
blu,blu_s0010uu,BLU STUDIO 7.0 LTE,3,-24,1
blu,BLU_STUDIO_C_8_8,BLU STUDIO C 8+8,3,-24,1
blu,BLU_STUDIO_C_8_8_LTE,BLU STUDIO C 8+8 LTE,3,-24,1
blu,BLU_STUDIO_C_HD,BLU STUDIO C HD,3,-24,1
blu,BLU_STUDIO_G,BLU STUDIO G,3,-24,1
blu,Studio_G_Plus,BLU STUDIO G PLUS,3,-24,1
blu,BLU_STUDIO_G2,BLU STUDIO G2,3,-24,1
blu,BLU_STUDIO_ONE,BLU STUDIO ONE,3,-24,1
blu,BLU_STUDIO_ONE_PLUS,BLU STUDIO ONE PLUS,3,-24,1
blu,BLU_STUDIO_SELFIE_2,BLU STUDIO SELFIE 2,3,-24,1
blu,BLU_STUDIO_SELFIE_LTE,BLU STUDIO SELFIE LTE,3,-24,1
blu,BLU_STUDIO_X_MINI,BLU STUDIO X MINI,3,-24,1
blu,BLU_STUDIO_XL_LTE,BLU STUDIO XL LTE,3,-24,1
blu,Studio_G_HD,BLU Studio G HD,3,-24,1
blu,BLU_Studio_Touch,BLU Studio Touch,3,-24,1
blu,BLU_TOUCHBOOK_M7,BLU TOUCHBOOK M7,3,-24,1
blu,S0320WW,BLU_S1,3,-24,1
blu,N0030WW,BOLD N1,3,-24,1
blu,C190,C1,3,-24,1
blu,C210,C2,3,-24,1
blu,C050,C4,3,-24,1
blu,C070,C4 2019,3,-24,1
blu,C014,C5,3,-24,1
blu,C004,C5,3,-24,1
blu,C010Q,C5,3,-24,1
blu,C110,C5 2019,3,-24,1
blu,C111,C5 2019,3,-24,1
blu,C0010UU,C5 LTE,3,-24,1
blu,C130EQ,C5 Plus,3,-24,1
blu,C0040LL,C5L,3,-24,1
blu,C0040,C5L,3,-24,1
blu,C0051LL,C5L,3,-24,1
blu,C0050,C5L,3,-24,1
blu,C0010LL,C5X,3,-24,1
blu,C0000UU,C5X,3,-24,1
blu,C031P,C6,3,-24,1
blu,C090EQ,C6 2019,3,-24,1
blu,C0030,C6L,3,-24,1
blu,C090P,C6x,3,-24,1
blu,D10,D10,3,-24,1
blu,D500,D500,3,-24,1
blu,D510,D510,3,-24,1
blu,D600,D600,3,-24,1
blu,D701,D701,3,-24,1
blu,BLU_DASH_X_PLUS_LTE,DASH X PLUS LTE,3,-24,1
blu,BLU_DIAMOND_M,DIAMOND M,3,-24,1
blu,D730,Dash 4.5,3,-24,1
blu,Dash_G,Dash G,3,-24,1
blu,D931,Dash L3,3,-24,1
blu,Dash_L3,Dash L3,3,-24,1
blu,D131,Dash L4,3,-24,1
blu,D0050,Dash L4 LTE,3,-24,1
blu,D0040UU,Dash L4X,3,-24,1
blu,D0090WW,Dash L5 LTE,3,-24,1
blu,D0070WW,Dash L5X,3,-24,1
blu,Dash_X2,Dash X2,3,-24,1
blu,Dash_XL,Dash XL,3,-24,1
blu,E_100,E100,3,-24,1
blu,E20,E20,3,-24,1
blu,BLU_ENERGY_XL,ENERGY XL,3,-24,1
blu,ENERGY_DIAMOND_MINI,ENERGY_DIAMOND_MINI,3,-24,1
blu,BLU_Energy_X_2,Energy X 2,3,-24,1
blu,BLU_Energy_X_LTE,Energy X LTE,3,-24,1
blu,G0090,G5,3,-24,1
blu,G0190,G5 Plus,3,-24,1
blu,G0180LL,G5 Plus,3,-24,1
blu,G0210,G6,3,-24,1
blu,G0270WW,G60,3,-24,1
blu,G0250WW,G70,3,-24,1
blu,G0170,G8,3,-24,1
blu,G0290WW,G80,3,-24,1
blu,G0130WW,G9,3,-24,1
blu,G0130WW_SR,G9,3,-24,1
blu,G0231WW,G9 PRO,3,-24,1
blu,G0230WW,G9 PRO,3,-24,1
blu,G0310WW,G90,3,-24,1
blu,G210Q,Grand 5.5 HD II,3,-24,1
blu,Grand_Energy,Grand Energy,3,-24,1
blu,Grand_M,Grand M,-1,-21,3
blu,G190,Grand M2,3,-24,1
blu,G0050,Grand M2 LTE,3,-24,1
blu,G0040LL,Grand M2 LTE,3,-24,1
blu,G0040UU,Grand M2X,3,-24,1
blu,G0070WW,Grand M3,3,-24,1
blu,Grand_Max,Grand Max,3,-24,1
blu,G170Q,Grand Mini,3,-24,1
blu,Grand_X,Grand X,3,-24,1
blu,Grand_X_LTE,Grand X LTE,3,-24,1
blu,Grand_XL,Grand XL,3,-24,1
blu,G0030,Grand XL LTE,3,-24,1
blu,J0000LL_ATT_MX,J7,3,-24,1
blu,Life_Max,Life Max,3,-24,1
blu,Life_One_X,Life One X,3,-24,1
blu,Life_One_X2,Life One X2,3,-24,1
blu,Life_One_X2_Mini,Life One X2 Mini,3,-24,1
blu,L0150WW,Life One X3,3,-24,1
blu,M0030TT,M6,3,-24,1
blu,M030P,M6,3,-24,1
blu,Neo_X2,Neo X2,3,-24,1
blu,BLU_PURE_XL,PURE XL,3,-24,1
blu,P0050WW,Pure View,3,-24,1
blu,BLU_Pure_XR,Pure XR,3,-24,1
blu,R1_HD,R1 HD,3,-24,1
blu,R1_PLUS,R1 PLUS,3,-24,1
blu,R010P,R2 3G,3,-24,1
blu,R0170WW,R2 LTE,3,-24,1
blu,R0150EE,R2 LTE,3,-24,1
blu,R0190WW,R2 Plus,3,-24,1
blu,S0480LL,S5,3,-24,1
blu,S0480LL_ALTAN,S5,3,-24,1
blu,S150,STUDIO 5.5 HD,3,-24,1
blu,BLU_STUDIO_ENERGY_2,STUDIO ENERGY 2,3,-24,1
blu,BLU_STUDIO_M_HD,STUDIO M HD,3,-24,1
blu,BLU_STUDIO_M_LTE,STUDIO M LTE,3,-24,1
blu,STUDIO_G_HD,STUDIO_G_HD,3,-24,1
blu,Studio_C_HD,Studio C HD,3,-24,1
blu,Studio_G_HD_LTE,Studio G HD LTE,3,-24,1
blu,Studio_G_Max,Studio G Max,3,-24,1
blu,S210,Studio G Mini,3,-24,1
blu,Studio_G_Plus_HD,Studio G Plus HD,3,-24,1
blu,Studio_G2_HD,Studio G2 HD,3,-24,1
